Coin,Sentiment,total_pnl,trades,win_rate
BLUR,Greed,-0.016659999999999998,4,0.0
BLUR,Neutral,98.921512,24,1.0
BNB,Extreme Fear,0.0,1,0.0
BNB,Extreme Greed,14.42765,6,0.3333333333333333
BNB,Fear,1132.022992,66,0.5454545454545454
BNB,Greed,15.790879999999998,40,0.4
BNT,Greed,-17.60528,10,0.2
BOME,Extreme Fear,0.0,2,0.0
BOME,Fear,-9.994446,2,0.0
BRETT,Extreme Fear,0.0,3,0.0
BRETT,Extreme Greed,-874.029129,43,0.0
BRETT,Fear,6.923826,1,1.0
BRETT,Greed,1801.308998,86,0.9069767441860465
BTC,Extreme Fear,5677.681742,145,0.27586206896551724
BTC,Extreme Greed,10100.854637,1120,0.3053571428571429
BTC,Fear,360665.775723,9221,0.36818132523587466
BTC,Greed,72904.27249999999,2844,0.29887482419127986
BTC,Neutral,8427.229916,321,0.32398753894080995
CAKE,Extreme Greed,268.68335,13,0.6153846153846154
CAKE,Fear,594.282727,41,0.21951219512195122
CAKE,Greed,159.880674,4,1.0
CANTO,Extreme Greed,-0.042,2,0.0
CANTO,Neutral,-188.45613000000003,8,0.0
CHILLGUY,Extreme Fear,0.0,1,0.0
CHILLGUY,Extreme Greed,21.008012,10,0.4
CHILLGUY,Fear,1460.55854,59,0.7288135593220338
CHILLGUY,Greed,3072.093691,129,0.5038759689922481
CHILLGUY,Neutral,0.0,1,0.0
COMP,Greed,2814.398024,95,0.6
CRV,Extreme Fear,17.724967999999993,36,0.1388888888888889
CRV,Extreme Greed,-1199.624026,13,0.0
CRV,Fear,151.982577,49,0.5102040816326531
CRV,Greed,334.45763,21,0.5238095238095238
CYBER,Extreme Greed,0.0,1,0.0
CYBER,Greed,191.5296,1,1.0
DOGE,Extreme Fear,0.0,1,0.0
DOGE,Extreme Greed,3680.184792,80,0.8
DOGE,Fear,14039.41085,339,0.4218289085545723
DOGE,Greed,13945.953657,356,0.4859550561797753
DOGE,Neutral,26.843200000000003,3,0.6666666666666666
DOT,Extreme Greed,6.140043,13,0.5384615384615384
DOT,Fear,32.893978,15,0.6666666666666666
DOT,Greed,129.605794,42,0.5476190476190477
DOT,Neutral,22.110708000000002,2,1.0
DYDX,Fear,498.70225700000003,111,0.2072072072072072
DYDX,Neutral,1.644956,5,0.4
DYM,Extreme Fear,0.0,2,0.0
DYM,Extreme Greed,-268.72002,1,0.0
DYM,Greed,131.82795,2,0.5
DYM,Neutral,241.24212,10,0.2
EIGEN,Extreme Fear,0.0,1,0.0
EIGEN,Extreme Greed,285.021189,26,0.4230769230769231
EIGEN,Fear,407.034582,59,0.3050847457627119
EIGEN,Greed,51188.152699,181,0.09944751381215469
EIGEN,Neutral,64.801788,23,0.2608695652173913
ENA,Extreme Fear,0.0,61,0.0
ENA,Extreme Greed,2.333863,23,0.08695652173913043
ENA,Fear,202941.236046,459,0.39433551198257083
ENA,Greed,12842.536385,254,0.30708661417322836
ENA,Neutral,15.25477,57,0.07017543859649122
ENS,Fear,-7.121359999999999,4,0.0
ETC,Extreme Greed,38.32488,3,0.3333333333333333
ETC,Greed,166.7236,2,1.0
ETH,Extreme Fear,3.324684,166,0.006024096385542169
ETH,Extreme Greed,-128752.13141300001,1586,0.212484237074401
ETH,Fear,739057.813789,3128,0.37851662404092073
ETH,Greed,38986.598838,2717,0.25432462274567535
ETH,Neutral,69185.369449,1304,0.36119631901840493
ETHFI,Extreme Greed,1412.314654,17,0.5294117647058824
ETHFI,Fear,274.216268,12,0.5833333333333334
ETHFI,Greed,6668.603784,31,0.5161290322580645
ETHFI,Neutral,35573.871368,251,0.3665338645418327
FARTCOIN,Extreme Fear,-5606.857421000001,31,0.1935483870967742
FARTCOIN,Fear,33204.534563,1454,0.4346629986244842
FARTCOIN,Greed,14973.747849,657,0.6225266362252664
FARTCOIN,Neutral,81.461842,17,1.0
FET,Extreme Greed,82.5628,42,0.38095238095238093
FET,Greed,146.6026,7,0.8571428571428571
FIL,Neutral,-35.27859,5,0.0
FTM,Extreme Greed,2939.981493,33,0.8181818181818182
FTM,Greed,3551.8388,44,0.6590909090909091
FTM,Neutral,453.55695000000003,4,0.75
